timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1.52968E+15,-3,17,-1,-11,-6,-6,-6,-3
1.52968E+15,2,-2,-13,-1,2,7,0,3
1.52968E+15,-2,-4,-9,-3,-1,11,25,-4
1.52968E+15,-1,-14,3,13,3,-11,-37,-2
1.52968E+15,3,14,1,7,3,-2,-6,0
1.52968E+15,-8,-12,-6,0,-1,4,10,-8
1.52968E+15,0,1,-24,-14,-4,4,0,-6
1.52968E+15,0,-6,17,7,2,-2,5,-7
1.52968E+15,3,7,-2,-7,-4,-6,0,6
1.52968E+15,2,11,5,7,3,6,-11,3
1.52968E+15,-2,-13,20,8,1,-8,-6,-3
1.52968E+15,4,19,-11,5,0,2,17,16
1.52968E+15,-3,-14,7,-1,0,2,13,-2
1.52968E+15,4,10,-6,2,0,-5,-7,-6
1.52968E+15,-4,4,-13,-6,-4,3,-19,-15
1.52968E+15,-4,-19,9,2,-3,-7,-5,-3
1.52968E+15,-3,-2,-2,0,-1,8,18,3
1.52968E+15,2,5,2,-7,-6,-10,2,5
1.52968E+15,1,-12,5,2,2,-3,-15,10
1.52968E+15,-1,10,-12,-2,-5,-8,12,-3
1.52968E+15,0,-13,-3,0,0,-3,2,-5
1.52968E+15,-10,-20,-12,-9,0,0,-11,-7
1.52968E+15,-1,14,2,3,-4,-4,-2,-1
1.52968E+15,5,11,11,-4,-2,-2,-2,-3
1.52968E+15,-4,-18,-2,14,4,2,-7,0
1.52968E+15,5,1,5,-5,0,8,-13,2
1.52968E+15,-7,-15,-14,0,-1,-3,-8,1
1.52968E+15,-7,-3,-13,-4,-2,-9,-3,-16
1.52968E+15,4,7,2,0,0,9,-13,5
1.52968E+15,5,-1,9,13,5,2,2,-1
1.52968E+15,-5,-16,-36,-18,-7,5,-6,2
1.52968E+15,3,3,16,6,1,-3,-1,-7
1.52968E+15,-1,5,12,4,3,7,25,7
1.52968E+15,0,19,-23,-17,-4,-4,-1,3
1.52968E+15,0,9,18,4,1,-10,0,7
1.52968E+15,1,-29,-6,-2,1,10,-8,3
1.52968E+15,2,0,3,-4,-1,0,-4,-4
1.52968E+15,-1,-8,-15,-1,-5,2,18,9
